"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","MAX_EPISODE_LEN","MAX_INPUT_LENGTH","PLOT_DIR","RESULT_DIR","SNAPSHOT_DIR","TRAINVAL_VOCAB","TRAIN_VOCAB","action_embedding_size","agent_type","batch_size","bidirectional","blind","debug","dirs","dropout_ratio","eval_type","feature_size","feedback","feedback_method","fold","hidden_size","history","learning_rate","lr","model_prefix","n_iters","padding_idx","par_folder","seed","target_embedding_size","weight_decay","word_embedding_size","iteration","test_euc_final_goal","test_euc_oracle_goal","test_loss","test_top_final_goal","test_top_oracle_goal","train_loss","val_seen_euc_final_goal","val_seen_euc_oracle_goal","val_seen_loss","val_seen_top_final_goal","val_seen_top_oracle_goal"
"test-seq2seq-120-sample-blind=vision","test-seq2seq-120-sample-blind=vision","test-seq2seq-120-sample-blind=vision","finished","-","shurjo","","2020-08-13T08:01:48.000Z","412702","","120","100","NDH-output/plots/test_feedback-sample_blind-vision_lr-0.001000/","NDH-output/results/test_feedback-sample_blind-vision_lr-0.001000/","NDH-output/snapshots/test_feedback-sample_blind-vision_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","vision","false","NDH-output/plots/test_feedback-sample_blind-vision_lr-0.001000/","0.5","test","144","sample","sample","test","32","all","0.001","0.001","test-seq2seq-120-sample-blind=vision","20000","0","test_feedback-sample_blind-vision_lr-0.001000","1","2","0.0005","32","20000","1.0350054425555564","0.8671440684371192","0.8212484147813585","4.02783440352042","3.9076636484110145","0.8883964288499621","","","","",""
"test-seq2seq-120-sample-blind=language","test-seq2seq-120-sample-blind=language","test-seq2seq-120-sample-blind=language","finished","-","shurjo","","2020-08-13T08:00:53.000Z","444580","","120","100","NDH-output/plots/test_feedback-sample_blind-language_lr-0.001000/","NDH-output/results/test_feedback-sample_blind-language_lr-0.001000/","NDH-output/snapshots/test_feedback-sample_blind-language_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","language","false","NDH-output/plots/test_feedback-sample_blind-language_lr-0.001000/","0.5","test","144","sample","sample","test","32","all","0.001","0.001","test-seq2seq-120-sample-blind=language","20000","0","test_feedback-sample_blind-language_lr-0.001000","1","2","0.0005","32","20000","1.079258363150392","0.7361528264896933","0.7084897571139864","3.414049717018497","3.138304122630403","0.7502045385572645","","","","",""
"test-seq2seq-120-sample","test-seq2seq-120-sample","test-seq2seq-120-sample","finished","-","shurjo","","2020-08-12T19:28:38.000Z","462773","","120","100","NDH-output/plots/test_feedback-sample_blind-_lr-0.001000/","NDH-output/results/test_feedback-sample_blind-_lr-0.001000/","NDH-output/snapshots/test_feedback-sample_blind-_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","","false","NDH-output/plots/test_feedback-sample_blind-_lr-0.001000/","0.5","test","144","sample","sample","test","32","all","0.001","0.001","test-seq2seq-120-sample","20000","0","test_feedback-sample_blind-_lr-0.001000","1","2","0.0005","32","20000","1.0640731782858452","0.6894659393540987","0.7487259546915691","3.3002284524562953","2.9620370799433933","0.7153400861952041","","","","",""
"test-seq2seq-120-teacher-blind=vision","test-seq2seq-120-teacher-blind=vision","test-seq2seq-120-teacher-blind=vision","finished","-","shurjo","","2020-08-12T19:28:37.000Z","254670","","120","100","NDH-output/plots/test_feedback-teacher_blind-vision_lr-0.000100/","NDH-output/results/test_feedback-teacher_blind-vision_lr-0.000100/","NDH-output/snapshots/test_feedback-teacher_blind-vision_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","vision","false","NDH-output/plots/test_feedback-teacher_blind-vision_lr-0.000100/","0.5","test","144","teacher","teacher","test","32","all","0.0001","0.0001","test-seq2seq-120-teacher-blind=vision","5000","0","test_feedback-teacher_blind-vision_lr-0.000100","1","2","0.0005","32","5000","1.1153479609365762","0.8918697791009578","0.6604014078776042","3.9805401405471277","3.8807653144753123","0.40496978399488653","","","","",""
"test-seq2seq-120-teacher-blind=language","test-seq2seq-120-teacher-blind=language","test-seq2seq-120-teacher-blind=language","finished","-","shurjo","","2020-08-12T19:28:38.000Z","247145","","120","100","NDH-output/plots/test_feedback-teacher_blind-language_lr-0.000100/","NDH-output/results/test_feedback-teacher_blind-language_lr-0.000100/","NDH-output/snapshots/test_feedback-teacher_blind-language_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","language","false","NDH-output/plots/test_feedback-teacher_blind-language_lr-0.000100/","0.5","test","144","teacher","teacher","test","32","all","0.0001","0.0001","test-seq2seq-120-teacher-blind=language","5000","0","test_feedback-teacher_blind-language_lr-0.000100","1","2","0.0005","32","5000","1.0230494187969414","0.6825737725365476","0.5762745751274957","3.6048532938717117","3.149430101040263","0.2979747325049506","","","","",""
"test-seq2seq-120-teacher","test-seq2seq-120-teacher","test-seq2seq-120-teacher","finished","-","shurjo","","2020-08-12T19:28:28.000Z","250993","","120","100","NDH-output/plots/test_feedback-teacher_blind-_lr-0.000100/","NDH-output/results/test_feedback-teacher_blind-_lr-0.000100/","NDH-output/snapshots/test_feedback-teacher_blind-_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","","false","NDH-output/plots/test_feedback-teacher_blind-_lr-0.000100/","0.5","test","144","teacher","teacher","test","32","all","0.0001","0.0001","test-seq2seq-120-teacher","5000","0","test_feedback-teacher_blind-_lr-0.000100","1","2","0.0005","32","5000","1.0259822633414537","0.7002196627862575","0.5815433714124891","3.5693861330958505","3.1920013984263966","0.2963951276143392","","","","",""
"val-seq2seq-120-sample-blind=vision","val-seq2seq-120-sample-blind=vision","val-seq2seq-120-sample-blind=vision","finished","-","shurjo","","2020-08-12T19:28:27.000Z","335723","","120","100","NDH-output/plots/val_feedback-sample_blind-vision_lr-0.001000/","NDH-output/results/val_feedback-sample_blind-vision_lr-0.001000/","NDH-output/snapshots/val_feedback-sample_blind-vision_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","vision","false","NDH-output/plots/val_feedback-sample_blind-vision_lr-0.001000/","0.5","val","144","sample","sample","val","32","all","0.001","0.001","val-seq2seq-120-sample-blind=vision","20000","0","val_feedback-sample_blind-vision_lr-0.001000","1","2","0.0005","32","20000","","","","","","0.8817390738593206","1.1101132426134759","0.9364127816584724","0.7926611370510525","3.9878442527670566","3.8483161427853223"
"val-seq2seq-120-sample-blind=language","val-seq2seq-120-sample-blind=language","val-seq2seq-120-sample-blind=language","finished","-","shurjo","","2020-08-12T19:28:27.000Z","313956","","120","100","NDH-output/plots/val_feedback-sample_blind-language_lr-0.001000/","NDH-output/results/val_feedback-sample_blind-language_lr-0.001000/","NDH-output/snapshots/val_feedback-sample_blind-language_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","language","false","NDH-output/plots/val_feedback-sample_blind-language_lr-0.001000/","0.5","val","144","sample","sample","val","32","all","0.001","0.001","val-seq2seq-120-sample-blind=language","20000","0","val_feedback-sample_blind-language_lr-0.001000","1","2","0.0005","32","20000","","","","","","0.733251284705268","1.081615128926981","0.7655994763957524","0.6752150429619683","3.1683417499376616","2.9048801604424095"
"val-seq2seq-120-sample","val-seq2seq-120-sample","val-seq2seq-120-sample","finished","-","shurjo","","2020-08-12T19:28:27.000Z","292386","","120","100","NDH-output/plots/val_feedback-sample_blind-_lr-0.001000/","NDH-output/results/val_feedback-sample_blind-_lr-0.001000/","NDH-output/snapshots/val_feedback-sample_blind-_lr-0.001000/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","","false","NDH-output/plots/val_feedback-sample_blind-_lr-0.001000/","0.5","val","144","sample","sample","val","32","all","0.001","0.001","val-seq2seq-120-sample","20000","0","val_feedback-sample_blind-_lr-0.001000","1","2","0.0005","32","20000","","","","","","0.6929172664218478","1.083250628698475","0.763266135278995","0.691163592868381","3.2012671220784434","2.8323728948419884"
"val-seq2seq-120-teacher-blind=vision","val-seq2seq-120-teacher-blind=vision","val-seq2seq-120-teacher-blind=vision","finished","-","shurjo","","2020-08-12T19:28:27.000Z","138443","","120","100","NDH-output/plots/val_feedback-teacher_blind-vision_lr-0.000100/","NDH-output/results/val_feedback-teacher_blind-vision_lr-0.000100/","NDH-output/snapshots/val_feedback-teacher_blind-vision_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","vision","false","NDH-output/plots/val_feedback-teacher_blind-vision_lr-0.000100/","0.5","val","144","teacher","teacher","val","32","all","0.0001","0.0001","val-seq2seq-120-teacher-blind=vision","5000","0","val_feedback-teacher_blind-vision_lr-0.000100","1","2","0.0005","32","5000","","","","","","0.4065649850633409","1.1441366233557446","0.9222550432471751","0.546231206258138","3.9482171705441167","3.810178317225071"
"val-seq2seq-120-teacher-blind=language","val-seq2seq-120-teacher-blind=language","val-seq2seq-120-teacher-blind=language","finished","-","shurjo","","2020-08-12T19:28:29.000Z","118733","","120","100","NDH-output/plots/val_feedback-teacher_blind-language_lr-0.000100/","NDH-output/results/val_feedback-teacher_blind-language_lr-0.000100/","NDH-output/snapshots/val_feedback-teacher_blind-language_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","language","false","NDH-output/plots/val_feedback-teacher_blind-language_lr-0.000100/","0.5","val","144","teacher","teacher","val","32","all","0.0001","0.0001","val-seq2seq-120-teacher-blind=language","5000","0","val_feedback-teacher_blind-language_lr-0.000100","1","2","0.0005","32","5000","","","","","","0.3012117130491469","1.1061113913710021","0.7772347379891906","0.4668655713399252","3.5807271166366803","3.133918991721433"
"val-seq2seq-120-teacher","val-seq2seq-120-teacher","val-seq2seq-120-teacher","finished","-","shurjo","","2020-08-12T19:28:29.000Z","116584","","120","100","NDH-output/plots/val_feedback-teacher_blind-_lr-0.000100/","NDH-output/results/val_feedback-teacher_blind-_lr-0.000100/","NDH-output/snapshots/val_feedback-teacher_blind-_lr-0.000100/","NDH-data/trainval_vocab.txt","NDH-data/train_vocab.txt","4","seq2seq","100","false","","false","NDH-output/plots/val_feedback-teacher_blind-_lr-0.000100/","0.5","val","144","teacher","teacher","val","32","all","0.0001","0.0001","val-seq2seq-120-teacher","5000","0","val_feedback-teacher_blind-_lr-0.000100","1","2","0.0005","32","5000","","","","","","0.3003431619008382","1.134393483745968","0.7774724262949371","0.46670509974161783","3.6490558203341688","3.1622699575220277"